client_id,company_id
820,583
820,182
526,583
526,182
582,583
582,182
891,583
891,182
522,583
522,182
578,583
578,182
523,583
523,182
579,583
579,182
892,583
892,182
524,583
524,182
580,583
580,182
525,583
525,182
581,583
581,182
819,583
819,182
893,583
893,182
817,583
817,182
816,583
816,182
815,583
815,182
450,583
450,182
814,583
814,182
818,583
818,182
813,583
813,182
451,583
451,182
812,583
812,182
453,583
453,182
811,583
811,182
810,583
810,182
809,583
809,182
452,583
452,182
808,583
808,182
807,583
807,182
806,583
806,182
805,583
805,182
804,583
804,182
803,583
803,182
802,583
802,182
801,583
801,182
800,583
800,182
798,583
798,182
797,583
797,182
796,583
796,182
427,583
427,182
428,583
428,182
795,583
795,182
429,583
429,182
794,583
794,182
430,583
430,182
799,583
799,182
793,583
793,182
431,583
431,182
792,583
792,182
432,583
432,182
791,583
791,182
790,583
790,182
434,583
434,182
789,583
789,182
433,583
433,182
788,583
788,182
435,583
435,182
787,583
787,182
436,583
436,182
440,583
440,182
786,583
786,182
437,583
437,182
438,583
438,182
439,583
439,182
1150,583
1150,182
1234,583
1234,182
1151,583
1151,182
1235,583
1235,182
1152,583
1152,182
1236,583
1236,182
1153,583
1153,182
1237,583
1237,182
1154,583
1154,182
1238,583
1238,182
1155,583
1155,182
1239,583
1239,182
1156,583
1156,182
1240,583
1240,182
1157,583
1157,182
1241,583
1241,182
1158,583
1158,182
1242,583
1242,182
1159,583
1159,182
1243,583
1243,182
1160,583
1160,182
1244,583
1244,182
1161,583
1161,182
1245,583
1245,182
1162,583
1162,182
1246,583
1246,182
1163,583
1163,182
1247,583
1247,182
1164,583
1164,182
1248,583
1248,182
1165,583
1165,182
1249,583
1249,182
1166,583
1166,182
1250,583
1250,182
1167,583
1167,182
1168,583
1168,182
1169,583
1169,182
1170,583
1170,182
1171,583
1171,182
1177,583
1177,182
1172,583
1172,182
1173,583
1173,182
1174,583
1174,182
1175,583
1175,182
1176,583
1176,182
5,583
5,182
242,583
242,182
1,583
1,182
240,583
240,182
226,583
226,182
225,583
225,182
239,583
239,182
241,583
241,182
2,583
2,182
4,583
4,182
236,583
236,182
906,583
906,182
6,583
6,182
224,583
224,182
243,583
243,182
3,583
3,182
223,583
223,182
907,583
907,182
235,583
235,182
784,583
784,182
908,583
908,182
222,583
222,182
221,583
221,182
783,583
783,182
909,583
909,182
782,583
782,182
915,583
915,182
781,583
781,182
780,583
780,182
910,583
910,182
785,583
785,182
220,583
220,182
237,583
237,182
219,583
219,182
779,583
779,182
911,583
911,182
778,583
778,182
238,583
238,182
777,583
777,182
912,583
912,182
973,583
973,182
776,583
776,182
218,583
218,182
974,583
974,182
775,583
775,182
913,583
913,182
975,583
975,182
774,583
774,182
976,583
976,182
773,583
773,182
914,583
914,182
772,583
772,182
977,583
977,182
771,583
771,182
978,583
978,182
232,583
232,182
770,583
770,182
979,583
979,182
769,583
769,182
980,583
980,182
228,583
228,182
227,583
227,182
768,583
768,182
981,583
981,182
229,583
229,182
985,583
985,182
982,583
982,182
230,583
230,182
231,583
231,182
984,583
984,182
234,583
234,182
983,583
983,182
233,583
233,182
767,583
767,182
214,583
214,182
765,583
765,182
217,583
217,182
277,583
277,182
204,583
204,182
764,583
764,182
271,583
271,182
763,583
763,182
213,583
213,182
276,583
276,182
203,583
203,182
270,583
270,182
762,583
762,182
766,583
766,182
216,583
216,182
278,583
278,182
761,583
761,182
211,583
211,182
760,583
760,182
212,583
212,182
275,583
275,182
759,583
759,182
202,583
202,182
758,583
758,182
269,583
269,182
201,583
